source_platform,vint_moyy,fico_bkt,fico_bkt_coupon
Marlette,201807,[650-680),0.167745188064191
Marlette,201807,[680-710),0.135901405451491
Marlette,201807,[710-750),0.107630519646238
Marlette,201807,[750+),0.0831637616293406
Marlette,201808,[620-650),0.221517802990401
Marlette,201808,[650-680),0.164250933145854
Marlette,201808,[680-710),0.133781951180958
Marlette,201808,[710-750),0.108792498124323
Marlette,201808,[750+),0.0828159668249841
Marlette,201809,[620-650),0.227437106669732
Marlette,201809,[650-680),0.168640303268419
Marlette,201809,[680-710),0.136275785524931
Marlette,201809,[710-750),0.10791947065957
Marlette,201809,[750+),0.0826698828135849
Marlette,201810,[620-650),0.223811806227895
Marlette,201810,[650-680),0.172228682598331
Marlette,201810,[680-710),0.139523494910988
Marlette,201810,[710-750),0.10976572267509
Marlette,201810,[750+),0.0825500861095689
Marlette,201811,[620-650),0.227411614168376
Marlette,201811,[650-680),0.176758498473525
Marlette,201811,[680-710),0.140195224022987
Marlette,201811,[710-750),0.111361364669733
Marlette,201811,[750+),0.0838280614685784
Marlette,201812,[620-650),0.222513273727686
Marlette,201812,[650-680),0.173162299478557
Marlette,201812,[680-710),0.141363288179145
Marlette,201812,[710-750),0.11413351971398
Marlette,201812,[750+),0.0851183946395347
Marlette,201901,[620-650),0.222372970072279
Marlette,201901,[650-680),0.172342247159681
Marlette,201901,[680-710),0.139546088406108
Marlette,201901,[710-750),0.112841750792586
Marlette,201901,[750+),0.0875770756613803
Marlette,201902,[620-650),0.226109294982227
Marlette,201902,[650-680),0.168423724570697
Marlette,201902,[680-710),0.141284407648894
Marlette,201902,[710-750),0.113781749724218
Marlette,201902,[750+),0.0843138683180593
Marlette,201903,[620-650),0.222301077814904
Marlette,201903,[650-680),0.165084341649341
Marlette,201903,[680-710),0.139227941125917
Marlette,201903,[710-750),0.115483028203824
Marlette,201903,[750+),0.0842852117030119
Marlette,201904,[620-650),0.22513074750247
Marlette,201904,[650-680),0.170349158064328
Marlette,201904,[680-710),0.144820341797602
Marlette,201904,[710-750),0.118008831856085
Marlette,201904,[750+),0.0873859782570151
Marlette,201905,[620-650),0.223707545787526
Marlette,201905,[650-680),0.176058384614949
Marlette,201905,[680-710),0.146508893225027
Marlette,201905,[710-750),0.12102884761414
Marlette,201905,[750+),0.0881975535832953
Marlette,201906,[620-650),0.226146241484909
Marlette,201906,[650-680),0.18404451114686
Marlette,201906,[680-710),0.150593475062926
Marlette,201906,[710-750),0.124468845539889
Marlette,201906,[750+),0.0879701829445176
Marlette,201907,[620-650),0.225832272454
Marlette,201907,[650-680),0.181127489146589
Marlette,201907,[680-710),0.150752245772287
Marlette,201907,[710-750),0.123395458291277
Marlette,201907,[750+),0.0880903028896542
Marlette,201908,[620-650),0.224116262125329
Marlette,201908,[650-680),0.176548261964346
Marlette,201908,[680-710),0.150512299608574
Marlette,201908,[710-750),0.123337843544051
Marlette,201908,[750+),0.0888905663869731
Marlette,201909,[620-650),0.221046584333508
Marlette,201909,[650-680),0.177300425171272
Marlette,201909,[680-710),0.150555381914266
Marlette,201909,[710-750),0.124468247755704
Marlette,201909,[750+),0.092088867908366
Marlette,201910,[620-650),0.220439478695255
Marlette,201910,[650-680),0.177276648856897
Marlette,201910,[680-710),0.149754958379533
Marlette,201910,[710-750),0.126955322203246
Marlette,201910,[750+),0.092550304588318
Marlette,201911,[620-650),0.214511358695482
Marlette,201911,[650-680),0.17695014470306
Marlette,201911,[680-710),0.151093771657072
Marlette,201911,[710-750),0.128780882831669
Marlette,201911,[750+),0.0959604680660424
Marlette,201912,[620-650),0.218178424150692
Marlette,201912,[650-680),0.174776154293184
Marlette,201912,[680-710),0.150404726560658
Marlette,201912,[710-750),0.128832272946677
Marlette,201912,[750+),0.0955093347986853
Marlette,202001,[620-650),0.213730932498354
Marlette,202001,[650-680),0.171167757357187
Marlette,202001,[680-710),0.146272812806054
Marlette,202001,[710-750),0.12729379140727
Marlette,202001,[750+),0.0948575512978069
Marlette,202002,[620-650),0.218954162868985
Marlette,202002,[650-680),0.170789899849757
Marlette,202002,[680-710),0.145747507237207
Marlette,202002,[710-750),0.127346931084321
Marlette,202002,[750+),0.0955717611868739
Marlette,202003,[620-650),0.216586677674393
Marlette,202003,[650-680),0.167757867827041
Marlette,202003,[680-710),0.147298822882184
Marlette,202003,[710-750),0.127741722132328
Marlette,202003,[750+),0.0976420559713631
Marlette,202004,[620-650),0.20762396643537
Marlette,202004,[650-680),0.177009628990826
Marlette,202004,[680-710),0.153040520492821
Marlette,202004,[710-750),0.131821041084783
Marlette,202004,[750+),0.102820353773507
Marlette,202005,[620-650),0.199955921721532
Marlette,202005,[650-680),0.180326850441245
Marlette,202005,[680-710),0.157360404775647
Marlette,202005,[710-750),0.13389773493261
Marlette,202005,[750+),0.106433914300156
Marlette,202006,[620-650),0.214288740897437
Marlette,202006,[650-680),0.187415690665939
Marlette,202006,[680-710),0.159216056156791
